,town,number_of_schools,lon,lat
1453,"NC,Misenheimer",1,-80.283168,35.484696
1454,"NC,Roxboro",1,-78.98060699999999,36.431674
1455,"NC,Winterville",1,-77.40720300000001,35.550591
1456,"NC,Asheboro",1,-79.828538,35.672814
1457,"NC,Hamlet",1,-79.70964000000001,34.905252000000004
1458,"NC,Ahoskie",1,-77.023662,36.324827
1459,"NC,Lumberton",1,-79.00664,34.675194
1460,"NC,Wentworth",1,-79.758353,36.388682
1461,"NC,Clinton",1,-78.361136,34.99086
1462,"NC,Pinehurst",1,-79.40635,35.220086
1463,"NC,Laurinburg",1,-79.478567,34.74563
1464,"NC,Whiteville",1,-78.783365,34.331749
1465,"NC,Sylva",1,-83.20712900000001,35.348575
1466,"NC,Albemarle",1,-80.236303,35.339895
1467,"NC,Wake Forest",1,-78.513755,35.981858
1468,"NC,Dobson",1,-80.71683399999999,36.384334
1469,"NC,Graham",1,-79.35765699999999,36.066683000000005
1470,"NC,Murphy",1,-83.966476,35.067021000000004
1471,"NC,Henderson",1,-78.487651,36.323887
1472,"NC,Swannanoa",1,-82.442619,35.610328
1473,"NC,Goldsboro",1,-77.94587299999999,35.403079
1474,"NC,Morganton",1,-81.687345,35.722876
1475,"NC,Wilkesboro",1,-81.182994,36.136617
1476,"NC,Wingate",1,-80.44305,34.986064
1477,"NC,Cullowhee",1,-83.186258,35.308979
1478,"ND,Fargo",6,-96.82579483333335,46.86941016666666
1479,"ND,Bismarck",6,-100.76841533333334,46.776301999999994
1480,"ND,Dickinson",1,-102.799679,46.882917
1481,"ND,New Town",1,-102.472814,47.983311
1482,"ND,Grand Forks",2,-97.058073,47.9109715
1483,"ND,Jamestown",1,-98.69841600000001,46.914302
1484,"ND,Devils Lake",1,-98.869034,48.127947999999996
1485,"ND,Fort Totten",1,-98.990801,47.978122
1486,"ND,Mayville",1,-97.322554,47.505415
1487,"ND,Minot",1,-101.29861,48.246961
1488,"ND,Wahpeton",1,-96.60737900000001,46.272158000000005
1489,"ND,Bottineau",1,-100.441103,48.832505
1490,"ND,Williston",1,-103.613066,48.158603
1491,"ND,Fort Yates",1,-100.674735,46.085288
1492,"ND,Ellendale",1,-98.51790600000001,46.001037
1493,"ND,Belcourt",1,-99.75083599999999,48.883758
1494,"ND,Valley City",1,-98.00389,46.918517
1495,"OH,Niles",3,-80.73256933333333,41.19883000000001
1496,"OH,Cincinnati",26,-84.48511073076922,39.192334384615386
1497,"OH,Wright-Patterson AFB",1,-84.08261800000001,39.782221
1498,"OH,Akron",3,-81.52697933333333,41.073529666666666
1499,"OH,Orrville",1,-81.789979,40.861519
1500,"OH,Salem",3,-80.849245,40.87790266666667
1501,"OH,Lima",6,-84.11167483333334,40.731077166666665
1502,"OH,Ashland",2,-82.2939345,40.8313865
1503,"OH,Jefferson",1,-80.733023,41.746864
